Tabela de Destino (SQLite),Nome da Coluna,Tipo SQL (SQLite),Obrigatoriedade,Chave / Relacionamento,Propósito / Descrição (O que o Script faz aqui?)
model_registry,kv_cache_cost_per_k,INTEGER,NOT NULL,-,Custo variável: MB consumidos na VRAM a cada 1.000 tokens de contexto. Vital para impedir o colapso da PCIe.
model_registry,max_context_window,INTEGER,NOT NULL,-,"Janela máxima suportada (ex: 128000 para DeepSeek, 8192 para Local)."
model_registry,specialty_tags,TEXT,NOT NULL,-,"Array JSON com as vocações do modelo (ex: [""code"", ""reasoning"", ""json_formatter""])."
model_registry,score_lmarena,INTEGER,NOT NULL,-,Score ELO de inteligência atualizado via telemetria (HuggingFace/LMSYS).
model_registry,cost_input_per_m,REAL,NOT NULL,-,Custo FinOps em dólares por 1 Milhão de tokens de entrada (0.0 para LOCAL).
model_registry,cost_output_per_m,REAL,NOT NULL,-,Custo FinOps em dólares por 1 Milhão de tokens de saída (0.0 para LOCAL).
model_registry,is_active,INTEGER,NOT NULL,-,Booleano (1/0). O script Rust desativa (0) automaticamente modelos locais que estourarem o teto de 6GB da RTX 2060m.
model_registry,ema_latency_ms,INTEGER,NOT NULL,-,Média Móvel Exponencial (EMA) da latência de resposta. Atualizada atamicamente a cada inferência. Penaliza modelos que degradam a velocidade sob carga. Padrão inicial: Latência base.
model_registry,success_rate_ema,REAL,NOT NULL,-,Float 0.0 a 1.0. Representa o EMA de sucessos (sem erros 503 ou quebras de JSON). Modele que falham muito caem no abismo de roteamento do ParetoBandit.
,,,,,
VIEW: action_matrix,(Campos herdados),VIEW,N/A,Lógica SQL Interna,"O Rust cria um CREATE VIEW filtrando projetos onde classificacao_terminal seja 'STACK_CORE_PLANO_A' etc. Traz as colunas project_name, acao_de_canibalizacao, transplantable_core, score_architectural_priority e score_absorption_readiness. É aqui que você lê o que extrair amanhã baseado nos novos scores da V3."
VIEW: quarantine_radar,(Campos herdados),VIEW,N/A,Lógica SQL Interna,"A Quarentena: Filtra impiedosamente repositórios onde design_misuse_risk, entropy_risk ou intrinsic_ethics_risk sejam 'HIGH' ou 'CRITICAL'. Isola visualmente os projetos que precisam do seu Veto Humano (Human-in-the-Loop) antes de serem absorvidos."
VIEW: souls_graph_topology,(Campos herdados),VIEW,N/A,Lógica SQL Interna,"O Mapa do Ecossistema: Uma View agregadora que agrupa os projetos por stack_base, architectural_topology e capability_nature_primary. Permite que você estude como as tecnologias base convergem."
,,,,,
kanban_tasks,task_id,TEXT,NOT NULL,PRIMARY KEY,Identificador único da tarefa no SOULS (ex: TASK_091_IPC).
kanban_tasks,target_repo_id,TEXT,NOT NULL,FOREIGN KEY (repositorios.project_name),"Elo arquitetural (GitOps). Permite vincular fisicamente uma tarefa do Kanban ao repositório exato ou solução que será canibalizada, unificando a esteira de ETL com o desenvolvimento."
kanban_tasks,issue_ref,TEXT,-,-,O link ou ID da Issue original no GitHub (Elo GitOps).
kanban_tasks,task_title,TEXT,NOT NULL,-,Título da tarefa visível no Kanban Swarm Canvas.
kanban_tasks,status,TEXT,NOT NULL,-,"Enum restrito refletindo a coluna no Canvas: 'To Do', 'In Progress', 'Review', 'Done'. A IA move isso sozinha via IPC."
kanban_tasks,associated_pr,TEXT,-,-,"Link para o Shadow Workspace (Pull Request) associado a esta tarefa, esperando a aprovação humana (HITL)."
kanban_tasks,last_updated,INTEGER,NOT NULL,-,Timestamp ISO-8601 da última movimentação do cartão.
,,,,,
weevolve_learnings,learning_id,TEXT,NOT NULL,PRIMARY KEY,Hash SHA-256 do padrão detectado.
weevolve_learnings,the_insight,TEXT,NOT NULL,-,O princípio computacional ou limitação de hardware descoberta (ex: bloqueio de thread no Tokio).
weevolve_learnings,why_this_matters,TEXT,NOT NULL,-,"A relevância e o sintoma catastrófico evitado (ex: Out-Of-Memory, Layout Shift)."
weevolve_learnings,recognition_pattern,TEXT,NOT NULL,-,Gatilhos sintáticos ou AST que indicam o risco desse erro voltar a acontecer no código.
weevolve_learnings,the_approach,TEXT,NOT NULL,-,A regra inegociável de contorno ou a sintaxe exata para a solução aprovada no SOULS.
weevolve_learnings,timestamp_aprendizado,INTEGER,NOT NULL,-,UNIX Epoch Int64. Momento em que o agente internalizou a regra.
